scenario,N,method,metric,mean,sd,ci95_low,ci95_high
four_cluster,100,pso_low_3x4,jain_fairness,0.52571282,0.087504277,0.49304185,0.55838378
four_cluster,100,pso_low_3x4,time_s,0.0071,0.0030777287,0.0059508863,0.0082491137
four_cluster,100,pso_mid_6x8,coverage,1,0,1,1
four_cluster,100,pso_mid_6x8,K,6.5333333,0.62881022,6.2985581,6.7681086
four_cluster,100,pso_mid_6x8,throughput_Mbps,7204.5654,1129.9853,6782.6693,7626.4614
four_cluster,100,pso_mid_6x8,mean_user_rate_Mbps,72.045654,11.299853,67.826693,76.264614
four_cluster,100,pso_mid_6x8,p5_rate_Mbps,11.894363,5.820792,9.721088,14.067639
four_cluster,100,pso_mid_6x8,qos_violation,0,0,0,0
four_cluster,100,pso_mid_6x8,jain_fairness,0.5564027,0.07922643,0.52682238,0.58598301
four_cluster,100,pso_mid_6x8,time_s,0.024333333,0.006514352,0.021901107,0.026765559
four_cluster,200,alns_no_refine,coverage,0.99966667,0.0018257419,0.998985,1.0003483
four_cluster,200,alns_no_refine,K,12,1.1744404,11.561506,12.438494
four_cluster,200,alns_no_refine,throughput_Mbps,4251.8678,632.49868,4015.7155,4488.0202
four_cluster,200,alns_no_refine,mean_user_rate_Mbps,21.259339,3.1624934,20.078577,22.440101
four_cluster,200,alns_no_refine,p5_rate_Mbps,2.8561467,1.3887228,2.3376473,3.374646
four_cluster,200,alns_no_refine,qos_violation,0.00033333333,0.0018257419,-0.00034833333,0.001015
four_cluster,200,alns_no_refine,jain_fairness,0.54092343,0.070342332,0.51466013,0.56718674
four_cluster,200,alns_no_refine,time_s,0.0478,0.020899431,0.039996901,0.055603099
four_cluster,200,alns_sca_lite,coverage,0.99983333,0.00091287093,0.9994925,1.0001742
